Model	estimate	parameter	sigma
BBout13F	mean	Nhat	184.15157
BBout13F	sd	Nhat	271.5658643
BBout13F	naïve.se	Nhat	0.495809166
BBout13F	ts.se	Nhat	27.91452081
BBout13F	q2.5	Nhat	1
BBout13F	q25	Nhat	1
BBout13F	q50	Nhat	28
BBout13F	q75	Nhat	276
BBout13F	q97.5	Nhat	916
BBout13F	gd.point	Nhat	1.706735371
BBout13F	gd.upperCI	Nhat	3.382311913
BBout13F	mean	Nhat	184.15157
BBout13F	sd	Nhat	271.5658643
BBout13F	naïve.se	Nhat	0.495809166
BBout13F	ts.se	Nhat	27.91452081
BBout13F	q2.5	Nhat	1
BBout13F	q25	Nhat	1
BBout13F	q50	Nhat	28
BBout13F	q75	Nhat	276
BBout13F	q97.5	Nhat	916
BBout13F	gd.point	Nhat	1.706735371
BBout13F	gd.upperCI	Nhat	3.382311913
BBout21F	mean	Nhat	165.1957467
BBout21F	sd	Nhat	227.952837
BBout21F	naïve.se	Nhat	0.416183036
BBout21F	ts.se	Nhat	30.26838811
BBout21F	q2.5	Nhat	2
BBout21F	q25	Nhat	12
BBout21F	q50	Nhat	60
BBout21F	q75	Nhat	228
BBout21F	q97.5	Nhat	845
BBout21F	gd.point	Nhat	1.192010081
BBout21F	gd.upperCI	Nhat	1.548197005
BBout22F	mean	Nhat	534.95225
BBout22F	sd	Nhat	186.148706
BBout22F	naïve.se	Nhat	0.339859484
BBout22F	ts.se	Nhat	24.63182271
BBout22F	q2.5	Nhat	295
BBout22F	q25	Nhat	391
BBout22F	q50	Nhat	483
BBout22F	q75	Nhat	640
BBout22F	q97.5	Nhat	972
BBout22F	gd.point	Nhat	1.841438505
BBout22F	gd.upperCI	Nhat	4.076127421
BBout23F	mean	Nhat	336.4369567
BBout23F	sd	Nhat	292.1131179
BBout23F	naïve.se	Nhat	0.533323147
