Model,species,estimate,parameter,value
LYout13F,lynx,q25,Nhat,214
LYout13F,lynx,q50,Nhat,486
LYout13F,lynx,q75,Nhat,744
LYout13F,lynx,q97.5,Nhat,972
LYout13F,lynx,gd.point,Nhat,1.808416829
LYout13F,lynx,gd.upperCI,Nhat,3.121756434
LYout21F,lynx,mean,Nhat,401.0023967
LYout21F,lynx,sd,Nhat,295.2102503
LYout21F,lynx,naïve.se,Nhat,0.538977711
LYout21F,lynx,ts.se,Nhat,35.43348004
LYout21F,lynx,q2.5,Nhat,23
LYout21F,lynx,q25,Nhat,108
LYout21F,lynx,q50,Nhat,379
LYout21F,lynx,q75,Nhat,642
LYout21F,lynx,q97.5,Nhat,957
LYout21F,lynx,gd.point,Nhat,1.130913892
LYout21F,lynx,gd.upperCI,Nhat,1.382590244
MOout23F,moose,mean,Nhat,476.2351733
MOout23F,moose,sd,Nhat,278.6362152
MOout23F,moose,naïve.se,Nhat,0.508717801
MOout23F,moose,ts.se,Nhat,19.31213875
MOout23F,moose,q2.5,Nhat,54
MOout23F,moose,q25,Nhat,230
MOout23F,moose,q50,Nhat,456
MOout23F,moose,q75,Nhat,715
MOout23F,moose,q97.5,Nhat,965
MOout23F,moose,gd.point,Nhat,1.201220047
MOout23F,moose,gd.upperCI,Nhat,1.567657748
WOout11F,wolf,mean,Nhat,339.5091133
WOout11F,wolf,sd,Nhat,312.9446076
WOout11F,wolf,naïve.se,Nhat,0.571356069
WOout11F,wolf,ts.se,Nhat,37.80670839
WOout11F,wolf,q2.5,Nhat,3
WOout11F,wolf,q25,Nhat,52
WOout11F,wolf,q50,Nhat,235
WOout11F,wolf,q75,Nhat,607
WOout11F,wolf,q97.5,Nhat,960
